persona_id,name,age,specialty,career_stage,monthly_income_range,investable_assets_range,current_support,primary_need,primary_pain,secondary_pain,pain_severity,urgency,financial_sophistication,communication_style,decision_style,hidden_objection,expected_fit,expected_service,ideal_next_action,scenario_summary,opening_message
MED_001,Mariana,36,Dermatology,career_consolidation,40k_60k,500k_1m,investment_advisor,investment_advisory,lack_of_strategy,lack_of_time,8,7,medium,objective,analytical,existing_advisor,high,investment_advisory,schedule_meeting,"Has a fragmented portfolio and an advisor who only presents products; wants a coherent strategy and is open to comparing professional support.","Tenho investimentos e assessor, mas sinto que minha carteira não tem uma estratégia clara."
MED_002,Rafael,44,Orthopedics,high_income,60k_100k,1m_3m,none,both,financial_fragmentation,lack_of_time,9,8,medium,direct,pragmatic,time,high,both,schedule_meeting,"Runs a busy practice, has multiple income sources and scattered investments, and wants to delegate organization and investment oversight.","Minha renda vem de vários lugares e meus investimentos estão espalhados. Não tenho tempo para organizar tudo."
MED_003,Helena,58,Cardiology,wealth_patrimonial,100k_plus,3m_plus,financial_planner,both,retirement_uncertainty,portfolio_fragmentation,9,9,high,reflective,analytical,trust,high,both,schedule_meeting,"Approaching retirement with substantial assets but disconnected planning and investment support; needs trust before committing to a meeting.","Estou pensando em reduzir o ritmo nos próximos anos, mas não sei se meu patrimônio está organizado para isso."
MED_004,Lucas,31,Anesthesiology,career_consolidation,25k_40k,100k_500k,none,financial_planning,high_income_low_accumulation,multiple_goals,8,7,low,informal,pragmatic,price,high,financial_planning,schedule_meeting,"Income recently increased, but spending and competing goals prevent accumulation; actively wants professional organization but worries about cost.","Minha renda melhorou bastante, só que parece que o dinheiro desaparece e não consigo avançar nos meus objetivos."
MED_005,Camila,40,Radiology,high_income,60k_100k,1m_3m,investment_advisor,both,major_life_decision,lack_of_strategy,9,8,medium,detailed,consensus,partner_decision,high,both,schedule_meeting,"Plans to buy into a clinic while managing a sizable portfolio; wants integrated analysis and must include her spouse in decisions.","Estou avaliando entrar como sócia em uma clínica e queria entender como organizar essa decisão junto dos investimentos."
MED_006,Bruno,49,Plastic Surgery,wealth_patrimonial,100k_plus,3m_plus,private_bank,investment_advisory,dissatisfaction_with_support,conflict_of_interest_concern,8,6,high,skeptical,analytical,bad_previous_experience,high,investment_advisory,schedule_meeting,"Has substantial investments and distrusts product-led private-bank advice after a poor prior experience; is seeking independent professional support.","Tenho um patrimônio relevante no banco, mas já tive uma experiência ruim e hoje questiono se as recomendações realmente fazem sentido para mim."
MED_007,Ana,34,Pediatrics,career_consolidation,25k_40k,100k_500k,none,financial_planning,multiple_goals,lack_of_organization,8,8,medium,warm,consensus,none,high,financial_planning,schedule_meeting,"Needs to coordinate a home purchase, a child's education, and irregular practice income; ready to seek help.","Quero comprar um imóvel e planejar a educação da minha filha, mas não consigo encaixar tudo de forma organizada."
MED_008,Felipe,52,Oncology,high_income,60k_100k,1m_3m,self_managed,investment_advisory,lack_of_time,portfolio_complexity,8,7,high,concise,pragmatic,do_it_myself,high,investment_advisory,schedule_meeting,"Successfully self-managed investments for years, but complexity and workload now consume too much time; reluctant to delegate.","Sempre cuidei sozinho dos meus investimentos, mas a carteira cresceu e hoje isso toma um tempo que eu não tenho."
MED_009,Patricia,47,Gynecology,high_income,60k_100k,500k_1m,accountant,both,financial_fragmentation,retirement_uncertainty,9,7,medium,detailed,analytical,none,high,both,schedule_meeting,"Has corporate and personal cash flows, investments, and retirement concerns with no integrated professional coordination.","Tenho consultório, empresa e investimentos em lugares diferentes. Queria enxergar tudo como uma estratégia só."
MED_010,Diego,38,Emergency Medicine,career_consolidation,40k_60k,500k_1m,investment_advisor,investment_advisory,dissatisfaction_with_support,lack_of_time,8,9,medium,direct,fast,not_priority,high,investment_advisory,schedule_meeting,"A recent market event exposed weak understanding of his portfolio; wants better support despite a habit of postponing financial decisions.","Depois de uma oscilação recente percebi que nem sei explicar por que tenho cada investimento na carteira."
MED_011,Juliana,29,Family Medicine,early_career,15k_25k,50k_100k,none,financial_planning,debt_and_savings_balance,career_transition,7,6,low,warm,consensus,price,medium,financial_planning,continue_discovery,"Finishing residency with education debt and first savings; interested in organization but uncertain whether paid support is affordable.","Estou terminando a residência, tenho uma dívida da formação e comecei a guardar dinheiro. Não sei qual prioridade seguir."
MED_012,Gustavo,42,Urology,high_income,60k_100k,500k_1m,self_managed,investment_advisory,portfolio_fragmentation,lack_of_time,6,5,high,objective,analytical,do_it_myself,medium,investment_advisory,continue_discovery,"Has several investments and some relevant pain, but believes he can resolve it himself and has only moderate urgency.","Tenho aplicações em três instituições e estou pensando se vale organizar melhor, embora eu normalmente resolva essas coisas sozinho."
MED_013,Renata,33,Psychiatry,career_consolidation,25k_40k,100k_500k,none,financial_planning,irregular_income,multiple_goals,7,5,medium,reflective,analytical,not_priority,medium,financial_planning,continue_discovery,"Growing private practice creates variable income and competing goals, but she sees financial organization as useful rather than urgent.","Minha renda varia muito com o consultório e isso dificulta planejar, mas ainda não parei para tratar como prioridade."
MED_014,Marcelo,55,General Surgery,wealth_patrimonial,60k_100k,1m_3m,investment_advisor,both,retirement_uncertainty,existing_support_gap,7,6,medium,reserved,consensus,existing_advisor,medium,both,continue_discovery,"Considering retirement and broader organization, but is loyal to a long-time advisor and has not identified the support gap clearly.","Comecei a pensar em aposentadoria, mas já tenho assessor há anos e não sei se preciso de outro tipo de acompanhamento."
MED_015,Sofia,27,Internal Medicine,early_career,15k_25k,under_50k,none,financial_planning,first_financial_structure,student_debt,6,7,low,curious,analytical,wants_free_advice,medium,financial_planning,continue_discovery,"Wants a foundation for saving and debt decisions; has real planning need but initially expects the chat to provide a free plan.","Comecei a ganhar melhor agora e queria que você me dissesse como dividir meu salário entre dívida, reserva e investimentos."
MED_016,Henrique,46,Neurology,high_income,60k_100k,1m_3m,private_bank,investment_advisory,conflict_of_interest_concern,portfolio_complexity,7,4,high,skeptical,analytical,trust,medium,investment_advisory,continue_discovery,"Questions whether bank recommendations are aligned but is guarded, low urgency, and not yet ready to meet another professional.","Meu banco oferece muitos produtos e fico em dúvida sobre a isenção das recomendações. Estou apenas pesquisando por enquanto."
MED_017,Beatriz,39,Ophthalmology,career_consolidation,40k_60k,500k_1m,financial_planner,both,major_life_decision,investment_uncertainty,7,7,medium,detailed,consensus,partner_decision,medium,both,continue_discovery,"May open a second clinic and has investments, but the decision depends on her business partner and she is still exploring feasibility.","Estou considerando abrir uma segunda unidade e isso mexeria com minhas reservas, mas preciso decidir tudo com minha sócia."
